title,episodes
Greatest Demon Lord is Reborn as a Typical Nobody,
Management of a Novice Alchemist,
Black Rock Shooter: Dawn Fall,
Mobile Suit Gundam: The Witch From Mercury,
Magical Destroyers,
Yakuza's Guide to Babysitting,
Heike Story,
Deaimon: Recipe for Happiness,
Heroines Run the Show: The Unpopular Girl and the Secret Task,
Fanfare of Adolescence,
Luminous Witches,
Attack on Titan The Final Season Part 2,
Show Time!,
Adventurers Who Don't Believe in Humanity Will Save the World,
CUE!,
Rusted Armors,
BLUELOCK,
Love All Play,
My Master Has No Tail,
Police in a Pod,
Digimon Ghost Game,
Aharen-san wa Hakarenai,
"Deji"" Meets Girl",
Orient,
Megaton-kyū Musashi,
My Stepmom's Daughter Is My Ex,
"Ippon"" Again!",
Selection Project,
Miss Kuroitsu From the Monster Development Department,
When Will Ayumu Make His Move?,
Deep Insanity: The Lost Child,
Uncle From Another World,
Fena: Pirate Princess,
Game World Reincarnation,
Sasaki and Miyano,
Miss Shachiku and the Little Baby Ghost,
Aoashi,
Idaten Deities Know Only Peace,
Fantasy Bishōjo Juniku Ojisan to,
Komi Can't Communicate,
Muv-Luv Alternative,
Healer Girl,
180-Byō de Kimi no Mimi o Shiawase ni Dekiru ka?,
Sonny Boy,
Dawn of the Witch,
Night Head 2041,
Kaginado,
BUILD-DIVIDE -#000000- CODE BLACK,
Skeleton Knight in Another World,
Faraway Paladin,
"Don't Hurt Me, My Healer!",
Dance Dance Danseur,
Ranking of Kings,
Tesla Note,
Couple of Cuckoos,
Love After World Domination,
FUUTO PI,
Rumble Garanndoll,
Muteking the Dancing Hero,
Vampire Dies in No Time,
Visual Prison,
IDOLiSH7 Third Beat!,
takt op. Destiny,
Akebi's Sailor Uniform,
Do It Yourself!!,
Encouragement of Climb: Next Summit,
Higurashi: When They Cry – SOTSU,
Scarlet Nexus,
Mieruko-chan,
Irina: The Vampire Cosmonaut,
D_Cide Traumerei the Animation,
Requiem of the Rose King,
Record of Ragnarok,
Seirei Gensouki - Spirit Chronicles,
Sabikui Bisco,
RE-MAIN,
RPG Real Estate,
Remake Our Life!,
Kageki Shoujo!!,
Eminence in Shadow,
Bocchi the Rock!,
Everything for Demon King Evelogia,
World's Finest Assassin,
Futsal Boys!!!!!,
Blue Reflection Ray,
Joran: The Princess of Snow and Blood,
My Senpai Is Annoying,
SEVEN KNIGHTS REVOLUTION: Hero Successor,
Cestvs: The Roman Fighter,
Duke of Death and His Maid,
Koikimo,
Tsukimichi -Moonlit Fantasy-,
Executioner and Her Way of Life,
My Isekai Life,
Pretty Boy Detective Club,
Dungeon of Black Company,
"Fruit of Evolution: Before I Knew It, My Life Had It Made",
Megalobox 2: Nomad,
Hell's Paradise,
Girls' Frontline,
Backflip!!,
Banished From The Heroes' Party,
Detective Is Already Dead,
Blue Period,
Fairy Ranmaru,
"Farewell, My Dear Cramer",
aquatope on white sand,
ODDTAXI,
"Girlfriend, Girlfriend",
Edens Zero,
Gloomy the Naughty Grizzly,
Drug Store in Another World - The Slow Life of a Cheat Pharmacist,
Saint's Magic Power is Omnipotent,
Slow Loop,
Taisho Otome Fairy Tale,
Uma Musume Pretty Derby Season 2,
Platinum End,
Tokyo Revengers,
Chainsaw Man,
Night Beyond the Tricornered Window,
PuraOre! Pride of Orange,
World’s End Harem,
SSSS.Dynazenon,
Full Dive,
Wixoss Diva(A)Live,
I★CHU: Halfway Through The Idol,
Gekidol,
Wonder Egg Priority,
Bottom-tier Character Tomozaki,
Horimiya,
Sk8 the Infinity,
Burning Kabaddi,
"Don't Toy with Me, Miss Nagatoro",
How a Realist Hero Rebuilt the Kingdom,
Bungo Stray Dogs Wan!,
Shadows House,
World Witches Take Off!,
Scar on the Praeter,
Cells at Work! Code Black,
Battle Athletes Victory ReSTART!,
Sorcerous Stabber Orphen: Battle of Kimluck,
Gymnastics Samurai,
Dragon Goes House-Hunting,
Those Snow White Notes,
Peach Boy Riverside,
Shikizakura,
Let's Make a Mug Too,
Magatsu Wahrheit -Zuerst-,
DOGEZA: I Tried Asking While Kowtowing.,
D4DJ First Mix,
Iwa-Kakeru! -Sport Climbing Girls-,
Higehiro,
KING’S RAID: Successors of the Will,
Moriarty the Patriot,
Kemono Jihen,
Hidden Dungeon Only I Can Enter,
How NOT to Summon a Demon Lord Omega,
"With a Dog AND a Cat, Every Day is Fun",
TONIKAWA: Over The Moon For You,
2.43: Seiin High School Boys Volleyball Team,
Journal of the Mysterious Creatures,
Heaven's Design Team,
Redo of Healer,
Cat Eyed Boy,
Akudama Drive,
EX-ARM,
Slime Diaries,
Higurashi: When They Cry – GOU,
Yashahime: Princess Half-Demon,
A3! Season Autumn & Winter,
By the Grace of the Gods,
Super Cub,
Vladlove,
Our Last Crusade or the Rise of a New World,
Show By Rock!! Stars!!,
Kuma Kuma Kuma Bear,
Combatants Will Be Dispatched!,
Kaiju Step Wandabada,
Otherside Picnic,
Warlords of Sigrdrifa,
Food Wars! Shokugeki no Soma: The Fifth Plate,
Bungo and Alchemist -Gears of Judgement-,
Listeners,
Digimon Adventure:,
Healin' Good Precure,
Hortensia Saga,
Back Arrow,
Adachi and Shimamura,
Jujutsu Kaisen,
Dr. Stone: Stone Wars,
Life Lessons with Uramichi-Oniisan,
Love Live! Nijigasaki High School Idol Club,
BNA: Brand New Animal,
Idoly Pride,
"Shachibato! President, It's Time for Battle!",
Skate-Leading Stars,
Assault Lily Bouquet,
Interspecies Reviewers,
Asteroid in Love,
Fruits Basket 2nd Season,
Suppose a Kid From the Last Dungeon Boonies Moved to a Starter Town,
I've Been Killing Slimes for 300 Years and Maxed Out My Level,
"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.",
Dorohedoro,
Keep Your Hands Off Eizouken!,
Misfit of Demon King Academy,
Destructive God Sits Next to Me,
Smile Down the Runway,
XL Boss,
Sakura Wars the Animation,
ID: INVADED,
High School Prodigies Have It Easy Even In Another World,
Ikebukuro West Gate Park,
Gal & Dino,
Tenka Hyakken,
A3! Season Spring & Summer,
Bananya and the Curious Bunch,
Sakugan,
Chidori RSC,
22/7,
IDOLiSH7 Second Beat!,
"Science Fell in Love, So I Tried to Prove It",
Super Shiro,
Ascendance of a Bookworm,
Midnight Voitore Boys,
Nekopara,
After School Dice Club,
Fire in His Fingertips -My Childhood Friend is a Fireman-,
Assassins Pride,
Cautious Hero: The Hero Is Overpowered but Overly Cautious,
Ahiru no Sora,
Wacky TV Nanana 2nd season,
LBX Girls,
Somali and the Forest Spirit,
Cop Craft,
number24,
Magia Record: Puella Magi Madoka Magica Side Story,
"If It’s for My Daughter, I’d Even Defeat a Demon Lord",
Plunderer,
Outburst Dreamer Boys,
Given,
Try Knights,
Bakumatsu Crisis,
Kochoki,
Isekai Cheat Magician,
O Maidens in Your Savage Season,
Chihayafuru 3,
I'm From Japan,
"Demon Lord, Retry!",
Princess Connect! Re:Dive,
Joshi Kausei,
Fairy gone,
How Heavy Are the Dumbbells You Lift?,
Wasteful Days of High School Girl,
Star Twinkle Precure,
Dr. Stone,
Nobunaga Teacher's Young Bride,
Even a Dad Still Wants It...,
Cinderella Nine,
Mix: Meisei Story,
Ace of Diamond Act II,
Kemono Friends 2,
Carole & Tuesday,
Ultramarine Magmell,
Magical Sempai,
Dimension High School,
Quintessential Quintuplets,
Price of Smiles,
Certain Scientific Accelerator,
Armor Shop for Ladies & Gentlemen,
Wise Man's Grandchild,
HIMOTE HOUSE: A share house of super psychic girls,
Ones Within,
Hot Night With My Boss in a Capsule Hotel,
Magnificent KOTOBUKI,
Conception,
Bermuda Triangle: Colorful Pastrale,
Namu Amida Butsu! -Rendai Utena-,
Tsurune: Kazemai Kōkō Kyūdō-bu,
Grimms Notes the Animation,
Voice of Fox,
Merc Storia: The Apathetic Boy and the Girl in a Bottle,
"Okoshiyasu, Chitose-chan",
Bloom Into You,
Endro~!,
Anima Yell!,
Domestic Girlfriend,
B-PROJECT: Zecchō Emotion,
King of Prism: Shiny Seven Stars,
Ulysses: Jeanne d'Arc and the Alchemist Knight,
"So I'm a Spider, So What?",
JoJo's Bizarre Adventure: Golden Wind,
Skull-face Bookseller Honda-san,
WATATEN!: an Angel Flew Down to Me,
Run with the Wind,
100 Sleeping Princes and the Kingdom of Dreams: The Animation,
Boarding School Juliet,
Music Girls,
Agū: Tensai Ningyō,
Free! -Dive to the Future-,
Revue Starlight,
Kekkeroke,
"My Sister, My Writer",
As Miss Beelzebub likes it.,
Uzamaid!,
Double Decker! Doug & Kirill,
DAKAICHI -I'm being harassed by the sexiest man of the year-,
Lord of Vermilion: The Crimson King,
Pastel Memories,
Thousand Noble Musketeers,
IRODUKU: The World in Colors,
Girl in Twilight,
RErideD,
Hinomaru Sumo,
W'z,
We Rent Tsukumogami,
That Time I Got Reincarnated as a Slime,
Master of Ragnarok & Blesser of Einherjar,
Sweet Punishment - I'm the Guard's Personal Pet -,
Grand Blue Dreaming,
Space Battleship Tiramisu,
You Don't Know Gunma Yet,
Hanebad!,
Forest of Piano,
Release the Spyce,
Aikatsu Friends!,
Crossing Time,
Ninja Girl & Samurai Master 3rd,
Megalobox,
Cells at Work!,
Cute High Earth Defense Club HAPPY KISS!,
My Sweet Tyrant,
Cutie Honey Universe,
Miss caretaker of Sunohara-sou,
Layton Mystery Tanteisha: Katori no Nazotoki File,
Hugtto! Precure,
Uchi no Oochopus,
PERSONA 5 the Animation,
gdgd men's party,
Lostorage conflated WIXOSS,
Yuuna and the Haunted Hot Springs,
Kengan Ashura,
Love To-LIE-Angle,
Yotsuiro Biyori,
Magical Girl Ore,
Caligula,
Mitsuboshi Colors,
SSSS.Gridman,
Doreiku The Animation,
Harukana Receive,
Beatless,
Pop Team Epic,
Devils' Line,
Kakuriyo -Bed & Breakfast for Spirits-,
Tada Never Falls in Love,
Major 2nd,
Gurazeni: Money Pitch,
Banana Fish,
High School DxD Hero,
Hakumei and Mikochi,
Basilisk: The Ouka Ninja Scrolls,
How to keep a mummy,
"My Matchmaking Partner is a Student, An Aggressive Troublemaker",
Comic Girls,
Garo -Vanishing Line-,
Himōto! Umaru-chan R,
Sanrio Boys,
Laid-Back Camp,
Slow Start,
Marvel Future Avengers,
DamePri Anime Caravan,
Dances with the Dragons,
TsukiPro the Animation,
DARLING in the FRANXX,
Irresponsible Galaxy Tylor,
Kaito × Ansa,
Citrus,
PriPri Chii-chan!!,
Yu-Gi-Oh! VRAINS,
100% Pascal-sensei,
Chōyū Sekai: Being the Reality,
Fate/Extra Last Encore,
Fate/Apocrypha,
Welcome to the Ballroom,
Altair: A Record of Battles,
Kirakira Precure a la Mode,
Chō Shōnen Tantei-dan NEO,
Love Rice,
Ai-Mai-Mi Surgical Friends,
Reikenzan: Eichi e no Shikaku,
Full Metal Panic! Invisible Victory,
PePePePengiin,
Ohayō! Kokekko-san,
Pittanko! Nekozakana,
Pokémon Sun & Moon,
Crane Game Girls Galaxy,
To Be Hero,
Chi's Sweet Adventure,
Kiitaro's yokai picture diary,
Miss Bernard said.,
Heybot!,
Twin Angels BREAK,
Digimon Universe: Appli Monsters,
Magic-kyun! Renaissance,
ACCA: 13-Territory Inspection Dept.,
Monster Hunter Stories RIDE ON,
Puzzle & Dragons X,
Crane Game Girls,
Flip Flappers,
Nameko: Sekai no Tomodachi,
Meow Meow Japanese History,
Aikatsu Stars!,
Hybrid x Heart Magias Academy Ataraxia,
Duel Masters Versus Revolution Final,
Kamiwaza Wanda,
Sushi Police,
Hakuōki: Otogisōshi,
Fairy Tail Zero,
Mysteria Friends,
Fist of the North Star: Strawberry Flavor,
Garo: Crimson Moon,
Utawarerumono: The False Faces,
One Punch Man,
Nar Doma,
Battle Spirits Burning Soul,
Vampire Holmes,
Saint Seiya: Soul of Gold,
Military!,
Shōnen Hollywood - Holly Stage for 50,
Unlimited Fafnir,
Rolling Girls,
Free! Eternal Summer,
Space Dandy Season 2,
Persona 4 the Golden Animation,
Hero Bank,
Dragon Collection,
Oreca Battle,
Gigant Shooter Tsukasa,
Mushishi: The Next Chapter,
KutsuDaru.,
Date A Live II,
Majin Bone,
Pupipō!,
Chronicles of the Going Home Club,
Senyū. Dai 2 Ki,
Free! - Iwatobi Swim Club,
Gifū Dōdō!! Kanetsugu to Keiji,
Genshiken: Second Generation,
Miyakawa-ke no Kūfuku,
Servant × Service,
Senki Zesshō Symphogear G,
Tanken Driland - 1000-nen no Mahō -,
Fantasista Doll,
Town Where You Live,
Ketsuekigata-kun!,
Danbōru Senki Wars,
Sparrow's Hotel,
Glass no Kamen Desu ga,
Futari wa Milky Holmes,
Straight Title Robot Anime,
"Stella Women's Academy, High School Division Class C3",
"You're Being Summoned, Azazel Z",
Muromi-san,
Line Offline Salaryman,
Arata The Legend,
Devil Survivor 2 The Animation,
Ishida and Asakura,
Glitter Force Doki Doki,
Uta no Prince-sama - Maji Love 2000%,
Saki - The Nationals,
Brothers Conflict,
Ai-Mai-Mi,
Chihayafuru 2,
World War Blue,
Tamagotchi! Yume Kira Dream,
Flowers of Evil,
Senran Kagura: Ninja Flash!,
Yakimochi Caprice,
Joshiraku,
Phi-Brain - Puzzle of God: The Orpheus Order,
Kuromajyo-san ga Tōru!!,
Hakuoki: Demon of the Fleeting Blossom - Dawn of the Shinsengumi,
Beyblade: Shogun Steel,
Shiba Inuko-san,
Ginga e Kickoff!!,
Danbōru Senki W,
Space Brothers,
Bakuman. 3,
Naruto Spin-Off: Rock Lee & His Ninja Pals,
Justeen,
Yurumates3Dei,
Queen's Blade: Rebellion,
Kuroko's Basketball,
Gokujyo. Gokurakuin Joshi Kōryō Monogatari,
Knight in the Area,
Double-J,
Inazuma Eleven GO,
Suzy's Zoo Daisuki! Witzy,
Honto ni Atta! Reibai-Sensei,
Kaiji: Against All Rules,
Otona Joshi no Anime Time,
Mai no Mahō to Katei no Hi,
A-Channel,
Maria Holic Alive,
Rio - Rainbow Gate!,
Hetalia World Series,
Usavich,
Hana Kappa,
Magic Kaito: Kid the Phantom Thief,
Kuruneko,
Marie & Gali,
Examurai Sengoku,
Hetalia - Axis Powers,
Neo Angelique Abyss -Second Age-,
Neo Angelique Abyss,
World of GOLDEN EGGS,
Wa Wa Wa Wappi-chan,
Odenkun,
Tsubasa: RESERVoir CHRoNiCLE,
Nanami-chan,
Major,
Nintama Rantaro,
L/R: Licensed by Royalty,
Pecola,
Prince Mackaroo,
Soreike! Anpanman,
Sazae-san,
One Piece,
Shin chan,
Case Closed,
